,Job Title,Job Description,Salary Range,Minimum Qualification,Certification/License,Outlook,Personality Traits,Career Ladder
0,['Software Designers'],"['Software designers, also known as software developers, create new ideas and design prepackaged and customized computer software. Systems software designers create systems software such as computer operating systems, proprietary computer systems for businesses and other organizations, and operating systems that control consumer electronics in cars, big-box appliances, and smartphones. These systems make it possible for computers to complete given tasks and to solve problems. Software applications designers create word processing programs, video games, front-end database programs, and spreadsheet programs. Once a need in the market has been identified, software designers first conceive of the program on a global level by outlining what the program will do. Then they write the specifications from which programmers code computer commands to perform the given functions. There are nearly 1.5 million software developers and programmers employed in the United States. Computer systems design jobs employed 33 percent of them as of May 2019. Software publishers, finance and insurance business, and manufacturers, and management firms employed another 29 percent.']","$50,000 to $100,000+",Bachelor's Degree,Recommended,Much Faster than the Average,"['Creative', 'Problem-Solving', 'Scientific']","['Computer Programmer', 'Software Designer', 'Project Team Leader', 'Software Manager']"
1,['Information Security Analysts'],"['Information security analysts protect an organization’s computer systems and networks from unauthorized intrusion by cyber attacks. These intruders are known as hackers, and the action of breaking into a computer system or network is called hacking. Approximately 112,300 information security analysts are employed in the United States. They are also known as computer security specialists, database security specialists, and network security analysts.']","$50,000 to $100,000+",Bachelor's Degree,Recommended,Much Faster than the Average,"['Hands On', 'Problem-Solving', 'Technical']","['Technical Support Specialist', 'Computer Engineer or Systems or Database Administrator', 'Information Security Analyst', 'Information Security Manager', 'Chief Information Security Officer ']"
2,['Computer Systems Programmer/Analysts'],"['Computer systems programmer/analysts analyze the computing needs of a business or organization and then design a new system or upgrade an old system to meet those needs. The position can be split between two people, the systems programmer and the systems analyst, but it is frequently held by just one person, who oversees the work from beginning to end. In this instance, these professionals may also be known as information technology project managers. Approximately 633,900 computer systems analysts are employed in the United States.']","$50,000 to $100,000+",Bachelor's Degree,Recommended,Faster than the Average,"['Conventional', 'Problem-Solving', 'Technical']","['Programmer, or Software Engineering Technician, or Database Administrator', 'Computer Systems Programmer/Analyst', 'Project Manager', 'Information Technology Director or Chief Technology Officer ']"
3,['Site Reliability Engineers'],"['Site reliability engineers (SREs) are computer professionals who have knowledge and experience in software engineering, system administration, and information technology (IT) infrastructure and operations. They use these skills to make sure that apps, Web sites, and IT systems and infrastructure operate without error and are repaired quickly when they malfunction, as well as develop ways to automate system administration and management tasks.']","$75,000 to $100,000+",Bachelor's Degree,Recommended,Faster than the Average,"['Hands On', 'Problem-Solving', 'Technical']","['Site Reliability Engineering Technician', 'Site Reliability Engineer', 'Director of Software Engineering/Development', 'Chief Technology Officer']"
4,['Software Engineers'],"['Software engineers create or customize existing software programs to meet the needs of a particular business or industry. First, they spend considerable time researching, defining, and analyzing the problem at hand. Then, they develop software programs to resolve the problem on the computer. They may also create software applications that are used for informational purposes or entertainment. There are nearly 1.5 million software designers and developers, which includes software engineers, employed in the United States.']","$50,000 to $100,000",Bachelor's Degree,Recommended,Much Faster than the Average,"['Hands On', 'Problem-Solving', 'Technical']","['Software Engineering Technician', 'Software Engineer  ', 'Software Project Team Leader ', 'Software Manager, or Chief Information Officer, or Systems Designer  ']"
5,['Data Scientists'],"['Data scientists use scientific principles to study large amounts of data. They use algorithms and machine learning to extract valuable intelligence from data to help business executives make better decisions, reach more customers, or provide better services. Data scientists are also employed by nonprofit organizations and government agencies. They may also be known as analytics scientists. Mathematicians and statisticians often perform many of the same duties as data scientists, and, in some circles, they are also considered data scientists.']","$100,000+",Master's Degree,Recommended,Much Faster than the Average,"['Curious', 'Problem-Solving', 'Technical']","['Data Analyst', 'Data Scientist ', 'Team Leader', 'Chief Data Officer or Consulting Firm Owner ']"
6,['Machine Learning Engineers'],"['Artificial intelligence is technology that can be programmed to perform tasks and functions in an “intelligent” manner that mimics and learns from human decision-making processes. It is used in a wide range of fields, including banking, transportation, health care, agriculture, security, human resources, astronomy, shipping, accounting, and the military. Artificial intelligence (AI) is typically added to existing products, and not sold as an individual application. Machine learning (ML) is both a form of AI and a method of data analysis that is used to help computers study data, identify patterns or other strategic goals, and make decisions with minimal or no intervention from humans. In ML, computers are taught to learn and act on their own. Machine learning engineers (MLEs) develop algorithms [sets of instructions that allow a computer to perform a specific task or group of tasks] that allow computer programs to learn and automatically improve their performance as they acquire more experience completing a certain task. Then they build and maintain scalable machine-learning solutions, monitor the process to ensure that the software works correctly and logically, and develop processes and tools to monitor and assess model performance and data accuracy.']","$75,000 to $100,000+",Bachelor's Degree,Recommended,-1,"['Problem-Solving', 'Technical', 'Curious']","['Machine Learning Engineer', 'Project Manager', 'Director of AI ', 'Chief Technology Officer', 'Consulting Firm or Software Development Company Owner']"
7,['Information Technology Project Managers'],"['Information technology (IT) project managers plan and oversee technology-related projects such as the installation of computer software or the upgrade of entire IT systems. They are also known as computer and information systems managers and IT managers. Approximately 414,400 computer and information systems managers are employed in the United States. ']","$50,000 to $100,000+",Bachelor's Degree,Recommended,Much Faster than the Average,"['Hands On', 'Problem-Solving', 'Technical']","['Information Technology Project Manager', 'Chief Technology Officer', 'Chief Information Officer', 'Top Executive or Consulting Business Owner']"
8,['Agile Coaches or Trainers'],"['The Agile methodology is an iterative approach to project management in software development and in other fields. Some of its main components are the use of collaborative, cross-functional teams; an emphasis on short and focused work increments (known as sprints) during which a team works to complete an agreed-upon amount of work; an openness to regular self-evaluation and improvement by team members; a preference for face-to-face communication between team members and stakeholders; a preference for simple solutions over complex ones, when possible; and the granting of significant independence to team members, who are trusted to get the job done. Agile coaches teach and train corporate teams about the Agile methodology. They monitor the integration process and provide suggestions to improve it. Agile coaches, who are also known as Agile trainers, also work with non-technology companies.']","$75,000 to $100,000+",Bachelor's Degree,Recommended,Faster than the Average,"['Hands On', 'Problem-Solving', 'Outgoing']","['Scrum Master', 'Agile Coach ', 'Manager or Executive', 'Consulting Firm Owner or Professor ']"
9,['Artificial Intelligence Specialists'],"['Artificial intelligence is technology that can be programmed to perform functions and tasks in a “smart” manner that mimics and learns from human decision-making processes. It is used in a wide range of fields, including banking, transportation, astronomy, shipping, accounting, health care, agriculture, security, human resources, and the military. Artificial intelligence is typically added to existing products, and not sold as an individual application. Artificial intelligence specialists are computer engineers and scientists, data scientists, programmers, software developers, and others who design, test, develop, and implement AI technologies in a variety of applications.']","$50,000 to $100,000+",Bachelor's Degree,Recommended,Much Faster than the Average,"['Problem-Solving', 'Scientific', 'Technical']","['Data Analyst', 'AI Scientist, Engineer, or Developer', 'Director of AI ', 'AI Business Owner or Professor']"
10,['Augmented Reality Developers'],"['Augmented reality (AR) technology uses imaginary digital elements (and in some case auditory and tactile elements) to “augment” a user’s visual perception of a real environment. It is typically superimposed over an existing environment, and, unlike the related field of virtual reality (VR) technology, users can interact with the AR images. Examples include Pokémon Go, Snapchat Lenses, and Google Glass. Augmented reality developers use their knowledge of software development, programming, computer hardware, and user experience and design to create the software and hardware for AR products.']","$50,000 to $100,000+",Bachelor's Degree,None,Faster than the Average,"['Creative', 'Problem-Solving', 'Technical']","['Tester', 'Augmented Reality Developer', 'Project Manager ', 'Creative Director', 'AR Firm Owner']"
11,['Automation Engineers'],"['Automation engineers use technology to automate or otherwise improve processes in the manufacturing, information technology (IT), finance, health care, and other industries.']","$50,000 to $100,000+",Apprenticeship,Required,Faster than the Average,"['Technical', 'Problem-Solving', 'Hands On']","['Automation Technician', 'Entry-Level Automation Engineer ', 'Experienced Automation Engineer ', 'Automation Team Lead ', 'Consultant or College Professor  ']"
12,['Back-End Developers'],"['Software applications have two components: the front-end and the back-end. The front-end consists of the features that the user sees and utilizes (i.e., the user interface). The back-end consists of the components that are unseen by the user, but that are vital for implementing the commands of the user (e.g., login to an account, make a purchase in an online store, access data, update contact information). Back-end developers design, develop, and troubleshoot and repair these components, which include the server, the application, and the database.']","$50,000 to $100,000+",Bachelor's Degree,Recommended,Faster than the Average,"['Hands On', 'Problem-Solving', 'Technical']","['Software Development Intern', 'Back-End Developer ', 'Full Stack Developer  ', 'Director of Product Development', 'Chief Technology Officer  ']"
13,['Big Data Developers'],"['Big Data is the term for a collection of large datasets (a dataset is a group of two or more data points) that cannot be analyzed effectively by using traditional statistical methods. The career of big data developer is not just one profession, but an umbrella term for a group of specialized workers with different skills and training who collect, analyze, and store and safeguard data. Developers use data to help companies, government agencies, and nonprofit organizations reach their goals (e.g., translating customer data into increased sales, better understand the needs of constituents, or better manage the delivery of emergency supplies after a natural disaster).']","$50,000 to $100,000+",Bachelor's Degree,Recommended,Much Faster than the Average,"['Organized', 'Problem-Solving', 'Realistic']","['Data Processing Technician or Analyst', 'Data Scientist or Engineer', 'Director of Data Analytics', 'Chief Data Officer', 'Consulting Firm Owner or Professor ']"
14,['Biometrics Systems Specialists'],"['Biometrics are distinctive physical or behavioral characteristics that are used to identify individuals. Common biometrics include fingerprints, palms, eyes, and faces. Biometric systems are a set of hardware and software that collect, process, and assess these characteristics and compare them against existing records to create a match. Biometric systems specialists design, build, and repair these systems.']","$25,000 to $100,000+",Bachelor's Degree,Recommended,Faster than the Average,"['Problem-Solving', 'Scientific', 'Technical']","['Biometric Systems Technician', 'Biometric Systems Engineer ', 'Project Manager ']"
15,['Blockchain Developers'],"['Blockchain is a shared, distributed ledger database that maintains a continuously-growing list of records that cannot be changed without the agreement of all parties who have access to the database (i.e., no central authority or third-party mediator, such as a bank, is involved in verifying the transaction). Each digital transaction is called a block in the chain of records, hence the blockchain moniker. Each chain is encrypted, in part, with data from the previous block to create the encryption. Both private (permissioned) and public (permissionless) blockchain ledgers can be created. Because blockchain technology is encrypted and immutable (i.e., unchangeable without the agreement of all parties), it has become a key tool in the sale and transfer of cryptocurrencies (decentralized digital currencies that allow people to exchange money instantly without the use of a third-party such as a bank) such as Bitcoin, as well as in the secure transfer of business assets (both digital and tangible) between member organizations and individuals.\nCompanies, government agencies, and nonprofits are investigating many ways to use blockchain technology. For example, Computerworld reports that “IBM Watson Health and the U.S. Food and Drug Administration are exploring the use of blockchain for secure patient data exchange, including sensitive electronic medical records, clinical trials and data culled from mobile devices and wearables.” The diamond giant DeBeers is using blockchain to track diamonds from the time they are mined all the way through the supply chain to the jewelry store to ensure that they have been mined and traded legally. Pharmaceutical manufacturers are using blockchain technology to track drugs and fight counterfeiting. IBM says that the use of blockchain-based ledgers allows businesses to “save time and costs, while reducing risks.”\nBlockchain developers are software engineers or developers, or other information technology (IT) professionals, who use their knowledge of cryptography, programming, data structures, networking, and distributed systems to design and create blockchain technology for a variety of applications.']","$50,000 to $100,000+",Bachelor's Degree,None,Much Faster than the Average,"['Problem-Solving', 'Realistic', 'Technical']","['Blockchain Developer', 'Blockchain Project Manager', 'Director of Information Technology or CEO']"
16,['Chief Information Officers'],"[""Chief information officers (CIOs), also known as information systems directors, are responsible for all aspects of their company's information technology. They use their knowledge of technology and business to determine how information technology can best be used to meet company goals—especially over the long term. This may include researching, purchasing, and overseeing set-up and use of technology systems, such as intranet, Internet, and computer networks. CIOs work for a variety of employers, including businesses, government agencies, libraries, and colleges and universities.""]","$75,000 to $100,000+",Bachelor's Degree,Recommended,Much Faster than the Average,"['Conventional', 'Organized', 'Problem-Solving']","['Database Administrator', 'Information Systems Manager', 'Chief Information Officer', 'Chief Executive Officer or Chief Technology Officer']"
17,['Chief Information Security Officers'],['Chief information security officers are top-level executives who are responsible for protecting their organization’s data and information technology (IT) systems from cyberattacks and other unauthorized use. They also are known as chief security officers and vice presidents of digital security.'],"$100,000+",Bachelor's Degree,Recommended,Faster than the Average,"['Conventional', 'Problem-Solving', 'Technical']","['Cybersecurity or Risk Analyst', 'Lead Analyst ', 'Chief Information Security Officer', 'Chief Information Officer, Chief Risk Officer, or Chief Operating Officer', 'Chief Executive Officer, Consultant, or Professor']"
18,['Clinical Data Managers'],"[""Clinical data managers test and design clinical databases for health care organizations and research centers. They process clinical data and monitor work flow processes to make sure they are in compliance with operating standards. They use a wide variety of software programs to accomplish their work. Strong knowledge of mathematics as well as of the information and techniques needed for diagnosing and treating medical conditions is required for clinical data management. The U.S. Department of Labor's Occupational Outlook Handbook does not yet provide information specifically about the clinical data manager profession, but reports that statisticians have similar responsibilities. This is a small field: In May 2018, there were approximately 39,920 statisticians working in the United States.""]","$25,000 to $100,000+",Bachelor's Degree,Recommended,Faster than the Average,"['Conventional', 'Problem-Solving', 'Technical']","['Clinical Data Associate', 'Clinical Data Manager', 'Senior Clinical Data Manager']"
19,['Cloud Engineers'],"['Cloud computing is a type of computing in which individuals and companies and other organizations use application software, store and access data, and perform other tasks on the Internet. Cloud systems consist of the hardware that runs everything, the operating system that contains software that is designed to send instructions to the hardware, and a software application that features a back-end component that interacts with the operating system and a front-end component that allows user to perform a specific task. Cloud engineers design, install, administer, and maintain cloud computing hardware, software, and infrastructure for public, private, and hybrid clouds. Public clouds are owned and operated by third-party cloud providers (such as Amazon, Microsoft, and Google) and provide clients with cloud services such as servers, storage, and software over the Internet. Private clouds exist on a company or other organization’s private network, and all cloud infrastructure is physically located at an on-site data center. Hybrid clouds consist of public and private clouds.']","$75,000 to $100,000+",Bachelor's Degree,Recommended,Faster than the Average,"['Hands On', 'Problem-Solving', 'Technical']","['Entry-Level Cloud Engineer', 'Experienced Cloud Engineer ', 'Cloud Architect ', 'Director of Cloud Computing/Cloud Architecture, College Professor, or Consultant ']"
20,['Computer and Office Machine Service Technicians'],"['Computer and office machine service technicians install, calibrate, maintain, troubleshoot, and repair equipment such as computers and their peripherals, office equipment, and specialized electronic equipment used in many factories, hospitals, airplanes, and numerous other businesses. Computer and office machine service technicians, including those who work on automated teller machines, hold approximately 114,500 jobs in the United States. ']","Below $25,000 to $75,000",Associate's Degree,Recommended,Little Change or More Slowly than the Average,"['Conventional', 'Problem-Solving', 'Realistic']","['Helper or Intern', 'Computer and Office Machine Service Technician', 'Self Employed, or Crew Supervisor, or Sales Representative']"
21,['Computer Network Administrators'],"[""Computer network administrators, or network specialists, design, install, and support an organization's local area network (LAN), wide area network (WAN), network segment, or Internet system. They maintain network hardware and software, analyze problems, and monitor the network to ensure availability to system users. Administrators also might plan, coordinate, and implement network security measures, including firewalls. Approximately 383,900 computer network and systems administrators work in the United States.""]","$50,000 to $100,000+",Bachelor's Degree,Recommended,About as Fast as the Average,"['Helpful', 'Scientific', 'Technical']","['Entry-Level Computer Network Administrator', 'Experienced Computer Network Administrator', 'Network Manager or Network Engineer or Architect']"
22,['Computer Programmers'],"['Computer programmers write instructions that tell computers what to do in a computer language, or code, that the computer understands—including applications that are provided through the Internet (known as software-as-a-service). Software applications are used to perform many tasks, such as searching for information, editing photographs, writing text, playing games, or making purchases. There are approximately 250,300 computer programmers employed in the United States.']","$25,000 to $100,000+",Associate's Degree,Recommended,Decline,"['Problem-Solving', 'Scientific', 'Technical']","['Junior Programmer ', 'Lead Programmer ', 'Computer Programmer', 'Systems Analyst, Computer Manager, or Software Application Developer']"
23,['Computer Support Service Owners'],"['The owners of computer support services help businesses and individuals install and maintain computer hardware and software. They offer advice on what computers to purchase; they teach people how to operate computers or software programs; and they assist with computer problems as they arise. There are approximately 863,100 computer support specialists in the industry, including technicians and entrepreneurs. Computer consultants either work out of their homes, or they rent office space. Though some of their assistance is offered over the phone or online, much of their work is performed on-site.']","$25,000 to $100,000+",Associate's Degree,Recommended,Faster than the Average,"['Enterprising', 'Problem-Solving', 'Technical']","['Computer Support Specialist', 'Computer Support Service Owner', 'Computer Trainer or Owner of Large Support Service Firm']"
24,['Computer Support Specialists'],"['Computer support specialists investigate and resolve problems in computer functioning. They listen to customer complaints, walk customers through possible solutions, and write technical reports based on their work. Computer support specialists have different duties depending on whom they assist and what they fix or troubleshoot. They generally work with individuals, while computer network support specialists mainly work with other information technology professionals to provide technical help for a network. There are approximately 863,100 computer support specialists employed in the United States. They are also known as help desk specialists, help desk technicians, and technical support specialists.']","$25,000 to $100,000+",Associate's Degree,Recommended,Faster than the Average,"['Curious', 'Helpful', 'Problem-Solving']","['Technical Support Specialist', 'User Support Specialist', 'Help Desk Technician', 'Help Desk Specialist', 'Manager']"
25,['Computer Trainers'],"['Computer trainers teach topics related to all aspects of using computers in the workplace, including personal computer (PC) software, operating systems for both stand-alone and networked systems, management tools for networks, and software applications for mainframe computers and specific industry management. Trainers work for training companies and software developers, either on the permanent staff or as independent consultants. They may produce training materials, including disk-based multimedia technology-delivered learning, instructor-led courseware, online training modules, skills assessment, videos, and classroom teaching manuals. Computer trainers may also be known as software vendor trainers and computer training and development specialists. There are approximately 306,400 training and development specialists employed in the United States. ']","$25,000 to $100,000+",Bachelor's Degree,Recommended,Faster than the Average,"['Helpful', 'Outgoing', 'Technical']","['Entry-Level Computer Trainer', 'Experienced Computer Trainer', 'Training Specialist, or Consultant, or Training Manager']"
26,['Cryptocurrency Specialists'],"['Cryptocurrency is a digital cash system that is increasingly being used as a substitute or complement to traditional currency. Cryptocurrency payments are not processed through a central banking system or trusted third party, but are sent from payer to payee. Bitcoin is the most-popular cryptocurrency. In August 2021, it accounted for about 54 percent of the market capitalization for the top 10 cryptocurrencies, according to Coinmarketcap.com. Other cryptocurrencies with significant market capitalization include Ethereum, Cardano, Binance Coin, Tether, XRP, Dogecoin, USD Coin, Solano, and Polkadot.\nThe term cryptocurrency specialist refers to a variety of information technology (IT) professionals who use blockchain technology (the underlying foundational technology of many types of digital currency) and other technologies to create cryptocurrencies; develop software to stop cybercriminals from stealing cryptocurrencies, customer data, and proprietary company information; create software interfaces that allow customers to sell and trade cryptocurrencies, and perform other technical tasks. These workers include blockchain developers, software engineers, information security analysts, cryptographers cryptocurrency miners, mining technicians, and artificial intelligence specialists and engineers.']","Below $25,000 to $100,000+",Bachelor's Degree,Recommended,Faster than the Average,"['Technical', 'Hands On', 'Problem-Solving']","['Mining Technician ', 'Cryptocurrency Miner ', 'Cryptocurrency Developer or Engineer ', 'Manager ', 'Consultant, Executive, Company Owner, or Professor']"
27,['Customer Success Managers'],"['Software as a service (SaaS) is a way of providing software applications to customers on demand. With this type of technology, software vendors may make the application available for download on their Web sites; the application may be sent to a user’s computer, laptop, tablet, smartphone, or other device; or the user may access and use the software via a cloud computing program. The customer pays a monthly, quarterly, or annual fee to use the software. Customer success managers (CSMs) are the primary point of contact between a SaaS company and its customers. Their goal is not only to help each customer increase productivity and profits as a result of use of the software, but also to increase revenue for their company by encouraging the customer to continue to use the SaaS software, purchase additional features related to the software, and purchase other products offered by the company. Customer success managers are known by many other job titles, including client success managers, customer advocate managers, and customer retention specialists.']","$25,000 to $100,000+",Bachelor's Degree,None,Faster than the Average,"['Helpful', 'Organized', 'Outgoing']","['Customer Service Representative', 'Custom Success Manager ', 'Chief Customer Officer ', 'Chief Executive Officer or Business Owner ']"
28,['Cybersecurity Architects'],"['Cybersecurity architects design, create, maintain, and manage an organization’s information technology (IT) systems to protect them from cybercrime and other unauthorized access. They also are known as cyber architects, information assurance architects, information security architects, security architects, and security solutions architects. ']","$75,000 to $100,000+",Bachelor's Degree,Recommended,Much Faster than the Average,"['Problem-Solving', 'Technical', 'Hands On']","['Cybersecurity Specialist, Cybercrime Analyst, Incident and Intrusion Analyst, and IT Auditor', 'Cybersecurity Analyst, Cybersecurity Consultant, Penetration and Vulnerability Tester ', 'Cybersecurity Architect', 'Cybersecurity Manager  ', 'Chief Information Security Officer, Consultant, or Professor']"
29,['Data Processing Technicians'],"['Data processing technicians use computers to manage and store information. They provide complex and detailed information necessary for daily office operations in business and government. They use computers to organize and analyze data, perform mathematical calculations, and provide data for some scientific or engineering design problems. Data processing technicians work with many different kinds of professionals including information scientists; systems analysts; information processing engineers; and engineering, scientific, and business computer programmers.']","$25,000 to $100,000",Associate's Degree,Recommended,Decline,"['Organized', 'Problem-Solving', 'Technical']","['Data Entry Clerk', 'Data Processing Technician', 'Junior Programmer', 'Senior Programmer', 'Data Analyst, or Supervisor, or Consultant']"
30,['Data Warehousing Specialists'],"['A data warehouse is the hardware/software equivalent of a big room full of file cabinets, but, of course, digital databases can hold infinitely larger amounts of information than what can be stored in a room full of filing cabinets. Data warehousing specialists (DWSs) design, develop, and maintain data warehouses.']","$50,000 to $100,000+",Bachelor's Degree,Recommended,Faster than the Average,"['Organized', 'Problem-Solving', 'Scientific']","['Data Warehousing Analyst', 'Data Warehousing Manager ', 'Data Scientist ', 'Chief Data Officer or Consulting Business Owner']"
31,['Database Specialists'],"[""Database specialists design, install, update, modify, maintain, and repair computer database systems to meet the needs of their employers. To do this work they need strong math skills, the ability to work with many variables at once, and a solid understanding of the organization's objectives. They consult with other management officials to discuss computer equipment purchases, determine requirements for various software programs, and allocate access to the computer system to users. They might also direct training of personnel who use company databases regularly. Some database specialists specialize in database systems, the physical and technical aspects of a database; others focus on the software that is designed for a specific database application or a set of applications. Database specialists may also be called database designers, database analysts, database managers, or database administrators in some businesses; at other businesses, these designations represent separate jobs. All of these positions, however, fall under the umbrella category of database specialist. There are approximately 116,900 database specialists working in the United States.""]","$25,000 to $100,000+",Bachelor's Degree,Recommended,Faster than the Average,"['Problem-Solving', 'Scientific', 'Technical']","['Computer Programmer', 'Database/Software Developer', 'Database Analyst', 'Database Specialist', 'Database Administrator']"
32,['Deepfake Professionals'],"['Deepfakes are videos, photos, and audio files that have been manipulated by machine-learning (ML)—specifically deep neural networks—to appear to make people say or do things they have not done in real life. They are also known as synthetic media but should not be confused with other types of video or audio edits and manipulation that are created by traditional video or audio editing software. These types of deceptions are often known as cheap fakes. Deepfake professional is a general term for various workers who create deepfakes or develop software and other methods to identify the use of deepfakes. They also are known as deepfake artists, deepfake creators, deepfake specialists, deepfake detection researchers, and synthetic media professionals.']","$50,000 to $100,000+",Bachelor's Degree,Recommended,Faster than the Average,"['Problem-Solving', 'Technical', 'Creative']","['Deepfake Professional', 'Director of Machine Learning or Deepfake Technology  ', 'Business Owner, Consultant, or College Professor']"
33,['Digital Agents'],"['Digital agents are people who have excellent technology skills and/or creative knowledge and market these talents to companies that are in need of technical skills or creative expertise. They may represent both people who want to work on a project-by-project basis or those who are seeking full-time salaried positions. Typical clients include software engineers, Web developers, game designers, and animators. Companies also come to digital agents seeking their help in finding employees with appropriate technology skills and/or artistic skills.']","$25,000 to $100,000+",Bachelor's Degree,Recommended,About as Fast as the Average,"['Enterprising', 'Outgoing', 'Realistic']","['Entry-Level Agent', 'Experienced Digital Agent', 'Agency Owner or Manager/Supervisor  ']"
34,['Digital Workplace Experience Engineers'],"['The digital workplace is the technological environment that employees use to do their jobs; interact with coworkers, clients, and vendors; manage their work schedules and benefits plans; and participate in continuing education opportunities; among other activities (such as new employee onboarding, expense management, and travel booking). These systems (comprising hardware, software, the Internet, and other technologies) are used by in-house, remote, and hybrid employees. Digital workplace experience engineers (DWEEs) ensure that workplace technology operates correctly, does not create an impediment to worker success, and is easy to use. They are also also known as digital employee experience professionals.']","$75,000 to $100,000+",Bachelor's Degree,Recommended,Faster than the Average,"['Problem-Solving', 'Technical', 'Organized']","['Digital Workplace Experience Analyst', 'Digital Workplace Experience Engineer ', 'Senior Engineering Manager ', 'Chief Technology Officer (and other corporate-level positions) or Business Owner']"
35,['Document Management Specialists'],"['Document management specialists create and monitor electronic document management systems for companies. They consult with end users of these systems to identify and correct issues related to accessing electronic content. Specialists also monitor regulatory activities to ensure compliance with document management laws. They prepare training materials and other documentation and share these materials with company employees. They work closely with information technology (IT) specialists to establish document management policies and implement the processing, retrieval, and distribution systems of electronic documents. Document management specialists are also known as document control specialists.']","$25,000 to $75,000",Bachelor's Degree,Recommended,Faster than the Average,"['Organized', 'Problem-Solving', 'Technical']","['Document Management Trainee', 'Document Management Specialist', 'Senior Manager, Document Management']"
36,['Electrical Engineering Technologists'],"['Electrical engineering technologists help electrical engineers design and develop electrical power and distribution systems and instrumentation. They create layouts of electrical distribution or transmission systems. They also oversee the work flow, ensuring work is done according to regulations and that deadlines are met. Technologists perform tests on electrical equipment and systems, record data, and prepare project schedules and budgets. They work closely with electrical engineers and other technologists on such things as computer systems, broadcast and communications systems, MP3 players, and GPS devices. ']","$25,000 to $100,000+",Associate's Degree,Recommended,Little Change or More Slowly than the Average,"['Conventional', 'Scientific', 'Technical']","['Associate Electrical Engineering Technologist', 'Electrical Engineering Technologist', 'Senior Electrical Engineering Technologist', 'Chief Electrical Engineering Technologist or Consultant']"
37,['Electrical Engineers'],"['Electrical engineers apply their knowledge of the sciences to working with equipment that produces and distributes electricity, such as generators, transmission lines, and transformers. They also design, develop, and manufacture electric motors, electrical machinery, and ignition systems for automobiles, aircraft, and other engines. There are approximately 193,100 electrical engineers employed in the United States.']","$50,000 to $100,000+",Bachelor's Degree,Recommended,About as Fast as the Average,"['Hands On', 'Scientific', 'Technical']","['Entry-Level Electrical Engineer', 'Electrical Engineer', 'Project Manager or Managing Engineer', 'Chief Engineer, or Consultant, or College Professor']"
